timestamp,station,discharge_m3s,qa_flag,role,source
2024-06-02 06:30:00,Tekhla,90.41,VALID_TELEMETRY,UPSTREAM_OBSERVATION,CWC Uttarakhand Telemetry Archive
2024-06-02 06:45:00,Tekhla,91.43,VALID_TELEMETRY,UPSTREAM_OBSERVATION,CWC Uttarakhand Telemetry Archive
2024-06-02 07:00:00,Tekhla,88.67,VALID_TELEMETRY,UPSTREAM_OBSERVATION,CWC Uttarakhand Telemetry Archive
2024-06-02 07:15:00,Tekhla,90.1,VALID_TELEMETRY,UPSTREAM_OBSERVATION,CWC Uttarakhand Telemetry Archive
2024-06-02 07:30:00,Tekhla,91.58,VALID_TELEMETRY,UPSTREAM_OBSERVATION,CWC Uttarakhand Telemetry Archive
2024-06-02 07:45:00,Tekhla,88.62,VALID_TELEMETRY,UPSTREAM_OBSERVATION,CWC Uttarakhand Telemetry Archive
2024-06-02 08:00:00,Tekhla,88.98,VALID_TELEMETRY,UPSTREAM_OBSERVATION,CWC Uttarakhand Telemetry Archive
2024-06-02 08:15:00,Tekhla,86.3,VALID_TELEMETRY,UPSTREAM_OBSERVATION,CWC Uttarakhand Telemetry Archive
2024-06-02 08:30:00,Tekhla,83.47,VALID_TELEMETRY,UPSTREAM_OBSERVATION,CWC Uttarakhand Telemetry Archive
2024-06-02 08:45:00,Tekhla,82.81,VALID_TELEMETRY,UPSTREAM_OBSERVATION,CWC Uttarakhand Telemetry Archive
2024-06-02 09:00:00,Tekhla,82.26,VALID_TELEMETRY,UPSTREAM_OBSERVATION,CWC Uttarakhand Telemetry Archive
2024-06-02 09:15:00,Tekhla,80.04,VALID_TELEMETRY,UPSTREAM_OBSERVATION,CWC Uttarakhand Telemetry Archive
2024-06-02 09:30:00,Tekhla,78.94,VALID_TELEMETRY,UPSTREAM_OBSERVATION,CWC Uttarakhand Telemetry Archive
2024-06-02 09:45:00,Tekhla,77.42,VALID_TELEMETRY,UPSTREAM_OBSERVATION,CWC Uttarakhand Telemetry Archive
2024-06-02 10:00:00,Tekhla,70.1,VALID_TELEMETRY,UPSTREAM_OBSERVATION,CWC Uttarakhand Telemetry Archive
2024-06-02 10:15:00,Tekhla,62.2,VALID_TELEMETRY,UPSTREAM_OBSERVATION,CWC Uttarakhand Telemetry Archive
2024-06-02 10:30:00,Tekhla,62.26,VALID_TELEMETRY,UPSTREAM_OBSERVATION,CWC Uttarakhand Telemetry Archive
2024-06-02 10:45:00,Tekhla,69.57,VALID_TELEMETRY,UPSTREAM_OBSERVATION,CWC Uttarakhand Telemetry Archive
