timestamp,catchment_precip_mm,valid_grid_fraction,source_product
2024-06-30 23:00:00+00:00,0.017,1.0,ECMWF ERA5-Land Hourly Surface Reanalysis (v1.0)
2024-07-01 00:00:00+00:00,0.012,1.0,ECMWF ERA5-Land Hourly Surface Reanalysis (v1.0)
2024-07-01 01:00:00+00:00,0.007,1.0,ECMWF ERA5-Land Hourly Surface Reanalysis (v1.0)
2024-07-01 02:00:00+00:00,0.027,1.0,ECMWF ERA5-Land Hourly Surface Reanalysis (v1.0)
2024-07-01 03:00:00+00:00,0.071,1.0,ECMWF ERA5-Land Hourly Surface Reanalysis (v1.0)
2024-07-01 04:00:00+00:00,0.076,1.0,ECMWF ERA5-Land Hourly Surface Reanalysis (v1.0)
2024-07-01 05:00:00+00:00,0.142,1.0,ECMWF ERA5-Land Hourly Surface Reanalysis (v1.0)
2024-07-01 06:00:00+00:00,0.257,1.0,ECMWF ERA5-Land Hourly Surface Reanalysis (v1.0)
2024-07-01 07:00:00+00:00,0.429,1.0,ECMWF ERA5-Land Hourly Surface Reanalysis (v1.0)
2024-07-01 08:00:00+00:00,0.735,1.0,ECMWF ERA5-Land Hourly Surface Reanalysis (v1.0)
2024-07-01 09:00:00+00:00,0.431,1.0,ECMWF ERA5-Land Hourly Surface Reanalysis (v1.0)
2024-07-01 10:00:00+00:00,0.348,1.0,ECMWF ERA5-Land Hourly Surface Reanalysis (v1.0)
2024-07-01 11:00:00+00:00,0.296,1.0,ECMWF ERA5-Land Hourly Surface Reanalysis (v1.0)
2024-07-01 12:00:00+00:00,0.173,1.0,ECMWF ERA5-Land Hourly Surface Reanalysis (v1.0)
2024-07-01 13:00:00+00:00,0.12,1.0,ECMWF ERA5-Land Hourly Surface Reanalysis (v1.0)
2024-07-01 14:00:00+00:00,0.276,1.0,ECMWF ERA5-Land Hourly Surface Reanalysis (v1.0)
2024-07-01 15:00:00+00:00,0.435,1.0,ECMWF ERA5-Land Hourly Surface Reanalysis (v1.0)
2024-07-01 16:00:00+00:00,0.681,1.0,ECMWF ERA5-Land Hourly Surface Reanalysis (v1.0)
2024-07-01 17:00:00+00:00,0.668,1.0,ECMWF ERA5-Land Hourly Surface Reanalysis (v1.0)
2024-07-01 18:00:00+00:00,0.47,1.0,ECMWF ERA5-Land Hourly Surface Reanalysis (v1.0)
2024-07-01 19:00:00+00:00,0.195,1.0,ECMWF ERA5-Land Hourly Surface Reanalysis (v1.0)
2024-07-01 20:00:00+00:00,0.05,1.0,ECMWF ERA5-Land Hourly Surface Reanalysis (v1.0)
2024-07-01 21:00:00+00:00,0.013,1.0,ECMWF ERA5-Land Hourly Surface Reanalysis (v1.0)
2024-07-01 22:00:00+00:00,0.046,1.0,ECMWF ERA5-Land Hourly Surface Reanalysis (v1.0)
2024-07-01 23:00:00+00:00,0.025,1.0,ECMWF ERA5-Land Hourly Surface Reanalysis (v1.0)
2024-07-02 00:00:00+00:00,0.011,1.0,ECMWF ERA5-Land Hourly Surface Reanalysis (v1.0)
2024-07-02 01:00:00+00:00,0.015,1.0,ECMWF ERA5-Land Hourly Surface Reanalysis (v1.0)
2024-07-02 02:00:00+00:00,0.014,1.0,ECMWF ERA5-Land Hourly Surface Reanalysis (v1.0)
2024-07-02 03:00:00+00:00,0.062,1.0,ECMWF ERA5-Land Hourly Surface Reanalysis (v1.0)
2024-07-02 04:00:00+00:00,0.065,1.0,ECMWF ERA5-Land Hourly Surface Reanalysis (v1.0)
2024-07-02 05:00:00+00:00,0.117,1.0,ECMWF ERA5-Land Hourly Surface Reanalysis (v1.0)
2024-07-02 06:00:00+00:00,0.597,1.0,ECMWF ERA5-Land Hourly Surface Reanalysis (v1.0)
2024-07-02 07:00:00+00:00,0.605,1.0,ECMWF ERA5-Land Hourly Surface Reanalysis (v1.0)
2024-07-02 08:00:00+00:00,1.138,1.0,ECMWF ERA5-Land Hourly Surface Reanalysis (v1.0)
2024-07-02 09:00:00+00:00,0.69,1.0,ECMWF ERA5-Land Hourly Surface Reanalysis (v1.0)
