canonical_osm_id,name,place_type,geometry_type,latitude,longitude,corridor_distance_km,corridor_relevance,source,provenance
node/7886990259,Katkot,hamlet,Point,30.23603,78.34838,13.67,OUTSIDE_CORRIDOR,OpenStreetMap contributors (ODbL),OPENSTREETMAP FEATURE (Precomputed Settlement Centroid)
node/7886990260,Bhaintari,hamlet,Point,30.23506,78.35505,13.43,OUTSIDE_CORRIDOR,OpenStreetMap contributors (ODbL),OPENSTREETMAP FEATURE (Precomputed Settlement Centroid)
node/7886990261,Simlet,hamlet,Point,30.24044,78.35705,13.94,OUTSIDE_CORRIDOR,OpenStreetMap contributors (ODbL),OPENSTREETMAP FEATURE (Precomputed Settlement Centroid)
node/7886990262,Tachhla,hamlet,Point,30.24398,78.36269,14.18,OUTSIDE_CORRIDOR,OpenStreetMap contributors (ODbL),OPENSTREETMAP FEATURE (Precomputed Settlement Centroid)
node/7886990263,Malas,hamlet,Point,30.24669,78.3585,14.55,OUTSIDE_CORRIDOR,OpenStreetMap contributors (ODbL),OPENSTREETMAP FEATURE (Precomputed Settlement Centroid)
node/7886990264,Ghasera,hamlet,Point,30.23423,78.36571,13.11,OUTSIDE_CORRIDOR,OpenStreetMap contributors (ODbL),OPENSTREETMAP FEATURE (Precomputed Settlement Centroid)
node/7886990265,Bhagori,hamlet,Point,30.23017,78.36775,12.65,OUTSIDE_CORRIDOR,OpenStreetMap contributors (ODbL),OPENSTREETMAP FEATURE (Precomputed Settlement Centroid)
node/7886990266,Wasi,hamlet,Point,30.22767,78.3676,12.4,OUTSIDE_CORRIDOR,OpenStreetMap contributors (ODbL),OPENSTREETMAP FEATURE (Precomputed Settlement Centroid)
node/7886990267,Damgaon,hamlet,Point,30.24368,78.37185,13.95,OUTSIDE_CORRIDOR,OpenStreetMap contributors (ODbL),OPENSTREETMAP FEATURE (Precomputed Settlement Centroid)
way/343761168,Paturi,village,Polygon,30.4254,78.51353,6.04,NEAR_CORRIDOR,OpenStreetMap contributors (ODbL),OPENSTREETMAP FEATURE (Precomputed Settlement Centroid)
node/342114299,Maroragad,village,Point,30.20004,78.54676,1.07,IN_CORRIDOR,OpenStreetMap contributors (ODbL),OPENSTREETMAP FEATURE (Precomputed Settlement Centroid)
node/342114306,Hindolakhal,village,Point,30.23163,78.60443,5.78,NEAR_CORRIDOR,OpenStreetMap contributors (ODbL),OPENSTREETMAP FEATURE (Precomputed Settlement Centroid)
node/342114312,Bidakot,village,Point,30.21515,78.59482,3.96,NEAR_CORRIDOR,OpenStreetMap contributors (ODbL),OPENSTREETMAP FEATURE (Precomputed Settlement Centroid)
node/342114319,Amni,village,Point,30.19867,78.60169,3.54,NEAR_CORRIDOR,OpenStreetMap contributors (ODbL),OPENSTREETMAP FEATURE (Precomputed Settlement Centroid)
node/342114326,Mahar,village,Point,30.18219,78.60993,3.23,NEAR_CORRIDOR,OpenStreetMap contributors (ODbL),OPENSTREETMAP FEATURE (Precomputed Settlement Centroid)
node/342114332,Gumeth,village,Point,30.16883,78.59481,1.12,IN_CORRIDOR,OpenStreetMap contributors (ODbL),OPENSTREETMAP FEATURE (Precomputed Settlement Centroid)
node/342114339,Devprayag,town,Point,30.14614,78.59858,0.06,IN_CORRIDOR,OpenStreetMap contributors (ODbL),OPENSTREETMAP FEATURE (Precomputed Settlement Centroid)
node/342114346,Umrasu,village,Point,30.10803,78.58933,3.8,NEAR_CORRIDOR,OpenStreetMap contributors (ODbL),OPENSTREETMAP FEATURE (Precomputed Settlement Centroid)
node/342114353,Siralakhal,village,Point,30.12314,78.61542,3.02,NEAR_CORRIDOR,OpenStreetMap contributors (ODbL),OPENSTREETMAP FEATURE (Precomputed Settlement Centroid)
node/342114359,Baroda,village,Point,30.1149,78.61954,3.97,NEAR_CORRIDOR,OpenStreetMap contributors (ODbL),OPENSTREETMAP FEATURE (Precomputed Settlement Centroid)
node/342114405,Garudachatti,hamlet,Point,30.12581,78.35342,2.23,IN_CORRIDOR,OpenStreetMap contributors (ODbL),OPENSTREETMAP FEATURE (Precomputed Settlement Centroid)
node/342114425,Agrakhal,village,Point,30.21359,78.3277,11.81,OUTSIDE_CORRIDOR,OpenStreetMap contributors (ODbL),OPENSTREETMAP FEATURE (Precomputed Settlement Centroid)
node/1193913111,Neelkanth Mahadev,hamlet,Point,30.08155,78.3406,2.04,IN_CORRIDOR,OpenStreetMap contributors (ODbL),OPENSTREETMAP FEATURE (Precomputed Settlement Centroid)
node/1413096207,Ghattu ghat,village,Point,30.08666,78.38042,2.37,IN_CORRIDOR,OpenStreetMap contributors (ODbL),OPENSTREETMAP FEATURE (Precomputed Settlement Centroid)
node/1413099772,Phool Chatti,village,Point,30.11575,78.37536,0.73,IN_CORRIDOR,OpenStreetMap contributors (ODbL),OPENSTREETMAP FEATURE (Precomputed Settlement Centroid)
node/1413099825,Ratta Pani,village,Point,30.10515,78.38142,0.49,IN_CORRIDOR,OpenStreetMap contributors (ODbL),OPENSTREETMAP FEATURE (Precomputed Settlement Centroid)
node/2377440470,Sillar,hamlet,Point,30.13348,78.38579,2.32,IN_CORRIDOR,OpenStreetMap contributors (ODbL),OPENSTREETMAP FEATURE (Precomputed Settlement Centroid)
node/3159251218,Unnamed Settlement,hamlet,Point,30.14512,78.64059,4.47,NEAR_CORRIDOR,OpenStreetMap contributors (ODbL),OPENSTREETMAP FEATURE (Precomputed Settlement Centroid)
node/3159251228,Unnamed Settlement,village,Point,30.14749,78.62523,2.86,IN_CORRIDOR,OpenStreetMap contributors (ODbL),OPENSTREETMAP FEATURE (Precomputed Settlement Centroid)
node/3820695398,Unnamed Settlement,hamlet,Point,30.11854,78.39123,0.67,IN_CORRIDOR,OpenStreetMap contributors (ODbL),OPENSTREETMAP FEATURE (Precomputed Settlement Centroid)
node/3820748010,Totla,hamlet,Point,30.12698,78.34051,2.63,IN_CORRIDOR,OpenStreetMap contributors (ODbL),OPENSTREETMAP FEATURE (Precomputed Settlement Centroid)
node/3821187543,Tapovan,suburb,Point,30.12966,78.32211,3.3,NEAR_CORRIDOR,OpenStreetMap contributors (ODbL),OPENSTREETMAP FEATURE (Precomputed Settlement Centroid)
node/3821187544,Pandav Gufa,suburb,Point,30.1322,78.33335,3.32,NEAR_CORRIDOR,OpenStreetMap contributors (ODbL),OPENSTREETMAP FEATURE (Precomputed Settlement Centroid)
node/5619564995,Bah Bazaar,suburb,Point,30.14352,78.60165,0.46,IN_CORRIDOR,OpenStreetMap contributors (ODbL),OPENSTREETMAP FEATURE (Precomputed Settlement Centroid)
node/5619564996,Shanti Bazaar,suburb,Point,30.14765,78.5969,0.01,IN_CORRIDOR,OpenStreetMap contributors (ODbL),OPENSTREETMAP FEATURE (Precomputed Settlement Centroid)
node/5619564997,Beech Bazaar,suburb,Point,30.14555,78.60052,0.27,IN_CORRIDOR,OpenStreetMap contributors (ODbL),OPENSTREETMAP FEATURE (Precomputed Settlement Centroid)
node/7863511847,dobh,hamlet,Point,30.25588,78.63534,9.91,NEAR_CORRIDOR,OpenStreetMap contributors (ODbL),OPENSTREETMAP FEATURE (Precomputed Settlement Centroid)
node/7863511848,silgarh,hamlet,Point,30.25796,78.63945,10.38,OUTSIDE_CORRIDOR,OpenStreetMap contributors (ODbL),OPENSTREETMAP FEATURE (Precomputed Settlement Centroid)
node/7863511849,bhainskot,hamlet,Point,30.25047,78.62269,8.49,NEAR_CORRIDOR,OpenStreetMap contributors (ODbL),OPENSTREETMAP FEATURE (Precomputed Settlement Centroid)
