canonical_osm_id,name,facility_type,raw_amenity_tag,raw_healthcare_tag,geometry_type,latitude,longitude,corridor_distance_km,corridor_relevance,source,provenance
way/825078065,"All India Institute of Medical Sciences, Rishikesh",hospital,hospital,hospital,Polygon,30.07788,78.28423,1.21,IN_CORRIDOR,OpenStreetMap contributors (ODbL),OPENSTREETMAP FEATURE (Unverified Operational Status)
way/1006239703,BHEL Hospital,hospital,hospital,hospital,Polygon,29.94827,78.11524,5.13,NEAR_CORRIDOR,OpenStreetMap contributors (ODbL),OPENSTREETMAP FEATURE (Unverified Operational Status)
way/1133268704,Unnamed Medical Facility,hospital,hospital,,Polygon,29.97311,78.0582,11.49,OUTSIDE_CORRIDOR,OpenStreetMap contributors (ODbL),OPENSTREETMAP FEATURE (Unverified Operational Status)
node/6950595585,"National Hospital, Haridwar",hospital,hospital,,Point,29.76155,78.03636,15.99,OUTSIDE_CORRIDOR,OpenStreetMap contributors (ODbL),OPENSTREETMAP FEATURE (Unverified Operational Status)
node/7018339832,Rita Nursing Home,clinic,clinic,,Point,29.38188,78.13376,0.18,IN_CORRIDOR,OpenStreetMap contributors (ODbL),OPENSTREETMAP FEATURE (Unverified Operational Status)
node/7018944950,Nav Jyoti Eye Hospital,hospital,hospital,,Point,29.37322,78.13613,0.67,IN_CORRIDOR,OpenStreetMap contributors (ODbL),OPENSTREETMAP FEATURE (Unverified Operational Status)
node/7020868741,Dev Nursing and Maternity Home,clinic,clinic,,Point,29.60725,78.33649,15.39,OUTSIDE_CORRIDOR,OpenStreetMap contributors (ODbL),OPENSTREETMAP FEATURE (Unverified Operational Status)
node/7020925946,Kundan Hospital,hospital,hospital,,Point,29.37607,78.13454,0.43,IN_CORRIDOR,OpenStreetMap contributors (ODbL),OPENSTREETMAP FEATURE (Unverified Operational Status)
node/7022344888,Aayushmaan Hospital,hospital,hospital,,Point,29.38662,78.1442,1.1,IN_CORRIDOR,OpenStreetMap contributors (ODbL),OPENSTREETMAP FEATURE (Unverified Operational Status)
node/7025155365,Gayatri Nursing Home,clinic,clinic,,Point,29.3788,78.13809,0.71,IN_CORRIDOR,OpenStreetMap contributors (ODbL),OPENSTREETMAP FEATURE (Unverified Operational Status)
node/7025501331,Durga Sahai Centre and Maternity Home,clinic,clinic,,Point,29.38666,78.1458,1.26,IN_CORRIDOR,OpenStreetMap contributors (ODbL),OPENSTREETMAP FEATURE (Unverified Operational Status)
node/7025682859,Radhe Shyam Hospital,hospital,hospital,,Point,29.3748,78.1368,0.69,IN_CORRIDOR,OpenStreetMap contributors (ODbL),OPENSTREETMAP FEATURE (Unverified Operational Status)
node/7031944235,Kartik Hospital,hospital,hospital,,Point,29.38147,78.14158,0.99,IN_CORRIDOR,OpenStreetMap contributors (ODbL),OPENSTREETMAP FEATURE (Unverified Operational Status)
node/7034665783,Kanha Karanwal Hospital,hospital,hospital,,Point,29.60572,78.34032,15.8,OUTSIDE_CORRIDOR,OpenStreetMap contributors (ODbL),OPENSTREETMAP FEATURE (Unverified Operational Status)
node/7034813489,Prabhakar Nursing Home and Diagnostic Centre,clinic,clinic,,Point,29.59943,78.34009,15.81,OUTSIDE_CORRIDOR,OpenStreetMap contributors (ODbL),OPENSTREETMAP FEATURE (Unverified Operational Status)
node/7036355588,Nursing Home,clinic,clinic,clinic,Point,29.39037,78.13604,0.17,IN_CORRIDOR,OpenStreetMap contributors (ODbL),OPENSTREETMAP FEATURE (Unverified Operational Status)
node/7169961883,District Hospital Bijnor,hospital,hospital,hospital,Point,29.38432,78.13645,0.39,IN_CORRIDOR,OpenStreetMap contributors (ODbL),OPENSTREETMAP FEATURE (Unverified Operational Status)
node/7173757319,Government Hospital Jhalu,hospital,hospital,,Point,29.33092,78.21705,10.25,OUTSIDE_CORRIDOR,OpenStreetMap contributors (ODbL),OPENSTREETMAP FEATURE (Unverified Operational Status)
node/11697858366,Wellness Forever,pharmacy,pharmacy,pharmacy,Point,29.38542,78.12079,1.23,IN_CORRIDOR,OpenStreetMap contributors (ODbL),OPENSTREETMAP FEATURE (Unverified Operational Status)
node/11698404491,Beena Prakash Hospital,hospital,hospital,hospital,Point,29.37903,78.1384,0.73,IN_CORRIDOR,OpenStreetMap contributors (ODbL),OPENSTREETMAP FEATURE (Unverified Operational Status)
node/11698548632,asian hospital,hospital,hospital,hospital,Point,29.37275,78.12984,0.24,IN_CORRIDOR,OpenStreetMap contributors (ODbL),OPENSTREETMAP FEATURE (Unverified Operational Status)
