time_prototype_s,Q_prototype_m3s,time_model_s,Q_model_m3s,V_inlet_model_ms
167518.0,718876.4876666666,31.8,7.188764876666666,1.9858466510128912
167519.0,718942.9688333332,31.9,7.189429688333332,1.9860303006445668
167520.0,719009.45,32.0,7.1900945,1.986213950276243
167521.0,719055.7873333333,32.1,7.190557873333333,1.9863419539594842
167522.0,719102.1246666666,32.2,7.191021246666666,1.9864699576427254
167523.0,719148.4619999999,32.3,7.19148462,1.9865979613259668
167524.0,719194.7993333333,32.4,7.191947993333333,1.986725965009208
167525.0,719241.1366666666,32.5,7.192411366666666,1.9868539686924491
167526.0,719287.4739999999,32.6,7.19287474,1.9869819723756905
167527.0,719333.8113333333,32.7,7.193338113333333,1.9871099760589317
167528.0,719380.1486666666,32.8,7.193801486666666,1.9872379797421729
167529.0,719426.4859999999,32.9,7.194264859999999,1.987365983425414
167530.0,719472.8233333332,33.0,7.194728233333333,1.9874939871086554
167531.0,719519.1606666666,33.1,7.195191606666666,1.9876219907918966
167532.0,719565.4979999999,33.2,7.195654979999999,1.9877499944751378
167533.0,719611.8353333332,33.3,7.196118353333333,1.9878779981583792
167534.0,719658.1726666666,33.4,7.196581726666666,1.9880060018416204
167535.0,719704.5099999999,33.5,7.197045099999999,1.9881340055248615
167536.0,719750.8473333333,33.6,7.197508473333333,1.9882620092081031
167537.0,719797.1846666667,33.7,7.1979718466666665,1.9883900128913443
167538.0,719843.522,33.8,7.19843522,1.9885180165745857
167539.0,719889.8593333333,33.9,7.198898593333333,1.9886460202578269
167540.0,719936.1966666667,34.0,7.199361966666666,1.988774023941068
167541.0,719982.534,34.1,7.199825339999999,1.9889020276243092
167542.0,720028.8713333333,34.2,7.200288713333333,1.9890300313075506
167543.0,720075.2086666666,34.3,7.200752086666666,1.9891580349907918
167544.0,720121.546,34.4,7.201215459999999,1.989286038674033
167545.0,720167.8833333333,34.5,7.201678833333333,1.9894140423572744
167546.0,720214.2206666666,34.6,7.202142206666666,1.9895420460405155
167547.0,720260.558,34.7,7.202605579999999,1.9896700497237567
167548.0,720306.8953333333,34.8,7.203068953333333,1.9897980534069981
167549.0,720353.2326666666,34.9,7.203532326666666,1.9899260570902393
167550.0,720399.57,35.0,7.203995699999999,1.9900540607734805
167551.0,720445.9073333333,35.1,7.204459073333333,1.9901820644567219
167552.0,720492.2446666666,35.2,7.204922446666666,1.990310068139963
167553.0,720538.5819999999,35.3,7.205385819999999,1.9904380718232042
167554.0,720584.9193333333,35.4,7.205849193333333,1.9905660755064456
167555.0,720631.2566666666,35.5,7.206312566666666,1.9906940791896868
167556.0,720677.5939999999,35.6,7.206775939999999,1.990822082872928
167557.0,720723.9313333333,35.7,7.207239313333332,1.9909500865561691
167558.0,720770.2686666666,35.8,7.207702686666666,1.9910780902394105
167559.0,720816.6059999999,35.9,7.208166059999999,1.9912060939226517
167560.0,720862.9433333332,36.0,7.208629433333332,1.9913340976058929
167561.0,720909.2806666666,36.1,7.209092806666666,1.9914621012891343
167562.0,720955.6179999999,36.2,7.209556179999999,1.9915901049723754
167563.0,721001.9553333332,36.3,7.210019553333332,1.9917181086556166
167564.0,721048.2926666666,36.4,7.210482926666666,1.991846112338858
167565.0,721094.6299999999,36.5,7.210946299999999,1.9919741160220992
167566.0,721140.9673333333,36.6,7.211409673333334,1.9921021197053408
167567.0,721187.3046666667,36.7,7.211873046666667,1.992230123388582
167568.0,721233.642,36.8,7.21233642,1.9923581270718231
167569.0,721279.9793333333,36.9,7.212799793333334,1.9924861307550645
167570.0,721326.3166666667,37.0,7.213263166666667,1.9926141344383057
167571.0,721372.654,37.1,7.21372654,1.9927421381215469
167572.0,721418.9913333333,37.2,7.214189913333333,1.992870141804788
167573.0,721465.3286666666,37.3,7.214653286666667,1.9929981454880294
167574.0,721511.666,37.4,7.21511666,1.9931261491712706
167575.0,721558.0033333333,37.5,7.215580033333333,1.9932541528545118
167576.0,721604.3406666666,37.6,7.2160434066666665,1.9933821565377532
167577.0,721650.678,37.7,7.21650678,1.9935101602209944
167578.0,721697.0153333333,37.8,7.216970153333333,1.9936381639042355
167579.0,721743.3526666666,37.9,7.2174335266666665,1.993766167587477
167580.0,721789.69,38.0,7.2178968999999995,1.993894171270718
167581.0,721815.7818333333,38.1,7.218157818333333,1.9939662481583793
