SlNo,Station,Agency,State LGD Code,State,District LGD Code,District,Tehsil,Block,Village,River,Basin,Tributary,Subtributary,SubSubtributary,Local River,Latitude,Longitude,Data Acquisition Time,Manual Daily Rainfall (mm)
64,Dharchula,Uttarakhand,5,Uttarakhand,53,Pithoragarh,DHARCHULA,-,-,Kali,Ganga,-,-,-,-,29.88000000,80.54000000,10-09-2022 08:00,132.2
65,Dharchula,Uttarakhand,5,Uttarakhand,53,Pithoragarh,DHARCHULA,-,-,Kali,Ganga,-,-,-,-,29.88000000,80.54000000,11-09-2022 08:00,56.4
66,Dharchula,Uttarakhand,5,Uttarakhand,53,Pithoragarh,DHARCHULA,-,-,Kali,Ganga,-,-,-,-,29.88000000,80.54000000,12-09-2022 08:00,16.4
67,Dharchula,Uttarakhand,5,Uttarakhand,53,Pithoragarh,DHARCHULA,-,-,Kali,Ganga,-,-,-,-,29.88000000,80.54000000,13-09-2022 08:00,26.2
68,Dharchula,Uttarakhand,5,Uttarakhand,53,Pithoragarh,DHARCHULA,-,-,Kali,Ganga,-,-,-,-,29.88000000,80.54000000,14-09-2022 08:00,27.8
69,Dharchula,Uttarakhand,5,Uttarakhand,53,Pithoragarh,DHARCHULA,-,-,Kali,Ganga,-,-,-,-,29.88000000,80.54000000,14-09-2022 14:00,1.4
70,Dharchula,Uttarakhand,5,Uttarakhand,53,Pithoragarh,DHARCHULA,-,-,Kali,Ganga,-,-,-,-,29.88000000,80.54000000,14-09-2022 16:00,2.2
71,Dharchula,Uttarakhand,5,Uttarakhand,53,Pithoragarh,DHARCHULA,-,-,Kali,Ganga,-,-,-,-,29.88000000,80.54000000,14-09-2022 18:00,2.6
72,Dharchula,Uttarakhand,5,Uttarakhand,53,Pithoragarh,DHARCHULA,-,-,Kali,Ganga,-,-,-,-,29.88000000,80.54000000,15-09-2022 08:00,26.8
73,Dharchula,Uttarakhand,5,Uttarakhand,53,Pithoragarh,DHARCHULA,-,-,Kali,Ganga,-,-,-,-,29.88000000,80.54000000,15-09-2022 14:00,3.4
74,Dharchula,Uttarakhand,5,Uttarakhand,53,Pithoragarh,DHARCHULA,-,-,Kali,Ganga,-,-,-,-,29.88000000,80.54000000,15-09-2022 16:00,5.6
75,Dharchula,Uttarakhand,5,Uttarakhand,53,Pithoragarh,DHARCHULA,-,-,Kali,Ganga,-,-,-,-,29.88000000,80.54000000,16-09-2022 08:00,9.6
76,Dharchula,Uttarakhand,5,Uttarakhand,53,Pithoragarh,DHARCHULA,-,-,Kali,Ganga,-,-,-,-,29.88000000,80.54000000,16-09-2022 16:00,2
77,Dharchula,Uttarakhand,5,Uttarakhand,53,Pithoragarh,DHARCHULA,-,-,Kali,Ganga,-,-,-,-,29.88000000,80.54000000,17-09-2022 08:00,30
78,Dharchula,Uttarakhand,5,Uttarakhand,53,Pithoragarh,DHARCHULA,-,-,Kali,Ganga,-,-,-,-,29.88000000,80.54000000,17-09-2022 14:00,0.2
79,Dharchula,Uttarakhand,5,Uttarakhand,53,Pithoragarh,DHARCHULA,-,-,Kali,Ganga,-,-,-,-,29.88000000,80.54000000,17-09-2022 16:00,0.2
80,Dharchula,Uttarakhand,5,Uttarakhand,53,Pithoragarh,DHARCHULA,-,-,Kali,Ganga,-,-,-,-,29.88000000,80.54000000,18-09-2022 08:00,25
81,Dharchula,Uttarakhand,5,Uttarakhand,53,Pithoragarh,DHARCHULA,-,-,Kali,Ganga,-,-,-,-,29.88000000,80.54000000,19-09-2022 08:00,1.4
82,Dharchula,Uttarakhand,5,Uttarakhand,53,Pithoragarh,DHARCHULA,-,-,Kali,Ganga,-,-,-,-,29.88000000,80.54000000,20-09-2022 08:00,15.4
83,Dharchula,Uttarakhand,5,Uttarakhand,53,Pithoragarh,DHARCHULA,-,-,Kali,Ganga,-,-,-,-,29.88000000,80.54000000,21-09-2022 08:00,0.4
84,Dharchula,Uttarakhand,5,Uttarakhand,53,Pithoragarh,DHARCHULA,-,-,Kali,Ganga,-,-,-,-,29.88000000,80.54000000,22-09-2022 08:00,0.8
85,Dharchula,Uttarakhand,5,Uttarakhand,53,Pithoragarh,DHARCHULA,-,-,Kali,Ganga,-,-,-,-,29.88000000,80.54000000,23-09-2022 08:00,1.4
86,Dharchula,Uttarakhand,5,Uttarakhand,53,Pithoragarh,DHARCHULA,-,-,Kali,Ganga,-,-,-,-,29.88000000,80.54000000,24-09-2022 08:00,16.6
87,Dharchula,Uttarakhand,5,Uttarakhand,53,Pithoragarh,DHARCHULA,-,-,Kali,Ganga,-,-,-,-,29.88000000,80.54000000,24-09-2022 14:00,3.8
88,Dharchula,Uttarakhand,5,Uttarakhand,53,Pithoragarh,DHARCHULA,-,-,Kali,Ganga,-,-,-,-,29.88000000,80.54000000,24-09-2022 16:00,3.8
89,Dharchula,Uttarakhand,5,Uttarakhand,53,Pithoragarh,DHARCHULA,-,-,Kali,Ganga,-,-,-,-,29.88000000,80.54000000,25-09-2022 08:00,50.4
90,Dharchula,Uttarakhand,5,Uttarakhand,53,Pithoragarh,DHARCHULA,-,-,Kali,Ganga,-,-,-,-,29.88000000,80.54000000,25-09-2022 14:00,20
91,Dharchula,Uttarakhand,5,Uttarakhand,53,Pithoragarh,DHARCHULA,-,-,Kali,Ganga,-,-,-,-,29.88000000,80.54000000,25-09-2022 16:00,21.2
92,Dharchula,Uttarakhand,5,Uttarakhand,53,Pithoragarh,DHARCHULA,-,-,Kali,Ganga,-,-,-,-,29.88000000,80.54000000,25-09-2022 18:00,21.2
93,Dharchula,Uttarakhand,5,Uttarakhand,53,Pithoragarh,DHARCHULA,-,-,Kali,Ganga,-,-,-,-,29.88000000,80.54000000,26-09-2022 08:00,21.2
94,Dharchula,Uttarakhand,5,Uttarakhand,53,Pithoragarh,DHARCHULA,-,-,Kali,Ganga,-,-,-,-,29.88000000,80.54000000,02-10-2022 08:00,40.4
95,Dharchula,Uttarakhand,5,Uttarakhand,53,Pithoragarh,DHARCHULA,-,-,Kali,Ganga,-,-,-,-,29.88000000,80.54000000,05-10-2022 08:00,0.4
